"originSiteID","destSiteID","Treatment"
"BT","BT","LocalControl"
"FE","FE","LocalControl"
"GW","GW","LocalControl"
"EB","EB","LocalControl"
"EB","BT","Warm"
"EB","FE","Warm"
"EB","GW","Warm"
"FE","BT","Warm"
"GW","BT","Warm"
"GW","FE","Warm"
